id,name,acceptance_rate,min_ielts,min_gpa,min_sat,application_deadline,enrollment_size,international_students_percent
augustana-college-illinois,"Augustana College (Illinois)",,,,,,,
augustana-university-south-dakota,"Augustana University (South Dakota)",,,,,,,
babson-college,"Babson College",,,,,,,
baker-college,"Baker College",,,,,,,
baldwin-wallace-university,"Baldwin Wallace University",,,,,,,
ball-state-university,"Ball State University",,,,,,,
bard-college-berlin,"Bard College Berlin",,,,,,,
bard-college,"Bard College",,,,,,,
barnard-college,"Barnard College",,,,,,,
barry-university,"Barry University",,,,,,,
bates-college,"Bates College",,,,,,,
bay-path-university,"Bay Path University",,,,,,,
baylor-university,"Baylor University",,,,,,,
beacon-college,"Beacon College",,,,,,,
belhaven-university,"Belhaven University",,,,,,,
beloit-college,"Beloit College",,,,,,,
bowling-green-state-university,"Bowling Green State University",,,,,,,
bradley-university,"Bradley University",,,,,,,
brandeis-university,"Brandeis University",,,,,,,
bethany-lutheran-college,"Bethany Lutheran College",,,,,,,
bethel-university-mn,"Bethel University (MN)",,,,,,,
bethel-university-tn,"Bethel University-TN",,,,,,,
black-hawk-college,"Black Hawk College",,,,,,,
bluffton-university,"Bluffton University",,,,,,,
boston-college,"Boston College",,,,,,,
boston-university,"Boston University",,,,,,,
bowdoin-college,"Bowdoin College",,,,,,,
bryn-mawr-college,"Bryn Mawr College",,,,,,,
brenau-university,"Brenau University",,,,,,,
brescia-university,"Brescia University",,,,,,,
brevard-college,"Brevard College",,,,,,,
briar-cliff-university,"Briar Cliff University",,,,,,,
coastal-carolina-university,"Coastal Carolina University",,,,,,,
bridgewater-state-university,"Bridgewater State University",,,,,,,
bryant-university,"Bryant University",,,,,,,
bryn-athyn-college,"Bryn Athyn College",,,,,,,
calumet-college-st-joseph,"Calumet College of St. Joseph",,,,,,,
central-connecticut-state-university,"Central Connecticut State University",,,,,,,
bucknell-university,"Bucknell University",,,,,,,
buena-vista-university,"Buena Vista University",,,,,,,
bushnell-university,"Bushnell University",,,,,,,
butler-university,"Butler University",,,,,,,
college-saint-mary,"College of Saint Mary",,,,,,,
cairn-university,"Cairn University",,,,,,,
caldwell-university,"Caldwell University",,,,,,,
california-college-arts,"California College of the Arts",,,,,,,
california-institute-technology-caltech,"California Institute of Technology (Caltech)",,,,,,,
california-lutheran-university,"California Lutheran University",,,,,,,
carnegie-mellon-university,"Carnegie Mellon University",,,,,,,
carolina-university,"Carolina University",,,,,,,
carroll-college-montana,"Carroll College (Montana)",,,,,,,
central-michigan-university,"Central Michigan University",,,,,,,
calvin-university,"Calvin University",,,,,,,
campbell-university,"Campbell University",,,,,,,
canisius-university,"Canisius University",,,,,,,
capital-university,"Capital University",,,,,,,
capitol-technology-university,"Capitol Technology University",,,,,,,
carl-sandburg-college,"Carl Sandburg College",,,,,,,
carleton-college,"Carleton College",,,,,,,
carlow-university,"Carlow University",,,,,,,
cedarville-university,"Cedarville University",,,,,,,
centenary-college-louisiana,"Centenary College of Louisiana",,,,,,,
centenary-university,"Centenary University",,,,,,,
carroll-university,"Carroll University",,,,,,,
carson-newman-university,"Carson-Newman University",,,,,,,
carthage-college,"Carthage College",,,,,,,
case-western-reserve-university,"Case Western Reserve University",,,,,,,
cleveland-state-university,"Cleveland State University",,,,,,,
catawba-college,"Catawba College",,,,,,,
catholic-university-america,"The Catholic University of America",,,,,,,
cedar-crest-college,"Cedar Crest College",,,,,,,
charles-r-drew-university-medicine-and-science,"Charles R. Drew University of Medicine and Science",,,,,,,
central-state-university,"Central State University",,,,,,,
centre-college,"Centre College",,,,,,,
chaminade-university-honolulu,"Chaminade University of Honolulu",,,,,,,
champlain-college,"Champlain College",,,,,,,
chapman-university,"Chapman University",,,,,,,
clarkson-university,"Clarkson University",,,,,,,
clayton-state-university,"Clayton State University",,,,,,,
clemson-university,"Clemson University",,,,,,,
cleveland-institute-art,"Cleveland Institute of Art",,,,,,,
chatham-university,"Chatham University",,,,,,,
chestnut-hill-college,"Chestnut Hill College",,,,,,,
cheyney-university-pennsylvania,"Cheyney University of Pennsylvania",,,,,,,
chicago-state-university,"Chicago State University",,,,,,,
chowan-university,"Chowan University",,,,,,,
christopher-newport-university,"Christopher Newport University",,,,,,,
citadel-military-college-south-carolina,"The Citadel, The Military College of South Carolina",,,,,,,
claremont-mckenna-college,"Claremont McKenna College",,,,,,,
clark-university,"Clark University",,,,,,,
college-holy-cross,"College of the Holy Cross",,,,,,,
college-idaho,"The College of Idaho",,,,,,,
college-new-jersey,"The College of New Jersey",,,,,,,
college-saint-benedict,"College of Saint Benedict",,,,,,,
coker-university,"Coker University",,,,,,,
colby-college,"Colby College",,,,,,,
colby-sawyer-college,"Colby-Sawyer College",,,,,,,
college-creative-studies,"College for Creative Studies",,,,,,,
college-st-scholastica,"The College of St. Scholastica",,,,,,,
college-wooster,"College of Wooster",,,,,,,
colorado-college,"Colorado College",,,,,,,
colorado-mesa-university,"Colorado Mesa University",,,,,,,
colorado-school-mines,"Colorado School of Mines",,,,,,,
connecticut-college,"Connecticut College",,,,,,,
converse-university,"Converse University",,,,,,,
cooper-union-advancement-science-art,"Cooper Union for the Advancement of Science & Art",,,,,,,
coppin-state-university,"Coppin State University",,,,,,,
colorado-state-university,"Colorado State University",,,,,,,
columbia-college-chicago,"Columbia College Chicago",,,,,,,
columbia-college-missouri,"Columbia College Missouri",,,,,,,
columbus-college-art-design,"Columbus College of Art & Design",,,,,,,
concord-university,"Concord University",,,,,,,
concordia-college-moorhead,"Concordia College at Moorhead",,,,,,,
concordia-university-irvine,"Concordia University Irvine",,,,,,,
concordia-university-st-paul,"Concordia University, St. Paul",,,,,,,
concordia-university-wisconsin,"Concordia University Wisconsin",,,,,,,
culver-stockton-college,"Culver-Stockton College",,,,,,,
cumberland-university,"Cumberland University",,,,,,,
cunef-universidad,"CUNEF Universidad",,,,,,,
curry-college,"Curry College",,,,,,,
cornell-college,"Cornell College",,,,,,,
cornerstone-university,"Cornerstone University",,,,,,,
cottey-college,"Cottey College",,,,,,,
covenant-college,"Covenant College",,,,,,,
creighton-university,"Creighton University",,,,,,,
culinary-institute-america,"The Culinary Institute of America",,,,,,,
depauw-university,"DePauw University",,,,,,,
dharma-realm-buddhist-university,"Dharma Realm Buddhist University",,,,,,,
dickinson-college,"Dickinson College",,,,,,,
east-texas-baptist-university,"East Texas Baptist University",,,,,,,
daemen-university,"Daemen University",,,,,,,
dallas-baptist-university,"Dallas Baptist University",,,,,,,
dartmouth-college,"Dartmouth College",,,,,,,
davenport-university,"Davenport University",,,,,,,
davidson-college,"Davidson College",,,,,,,
denison-university,"Denison University",,,,,,,
duke-university,"Duke University",,,,,,,
duquesne-university,"Duquesne University",,,,,,,
dyouville-university,"D'Youville University",,,,,,,
dominican-university-california,"Dominican University of California",,,,,,,
dominican-university-il,"Dominican University (IL)",,,,,,,
dominican-university-new-york,"Dominican University New York",,,,,,,
drake-university,"Drake University",,,,,,,
drexel-university,"Drexel University",,,,,,,
drury-university,"Drury University",,,,,,,
duke-kunshan-university,"Duke Kunshan University",,,,,,,
eastern-illinois-university,"Eastern Illinois University",,,,,,,
edgewood-university,"Edgewood University",,,,,,,
earlham-college,"Earlham College",,,,,,,
east-carolina-university,"East Carolina University",,,,,,,
east-central-university,"East Central University",,,,,,,
east-stroudsburg-university-pennsylvania,"East Stroudsburg University of Pennsylvania",,,,,,,
eastern-mennonite-university,"Eastern Mennonite University",,,,,,,
eastern-michigan-university,"Eastern Michigan University",,,,,,,
eastern-oregon-university,"Eastern Oregon University",,,,,,,
eckerd-college,"Eckerd College",,,,,,,
ehl-hospitality-business-school,"EHL Hospitality Business School",,,,,,,
elim-bible-college,"Elim Bible College",,,,,,,
elizabethtown-college,"Elizabethtown College",,,,,,,
elmhurst-university,"Elmhurst University",,,,,,,
fairleigh-dickinson-university,"Fairleigh Dickinson University",,,,,,,
elmira-college,"Elmira College",,,,,,,
elms-college,"Elms College",,,,,,,
elon-university,"Elon University",,,,,,,
emmanuel-college-ma,"Emmanuel College (MA)",,,,,,,
emory-henry-university,"Emory & Henry University",,,,,,,
emory-university,"Emory University",,,,,,,
esade-barcelona,"Esade Barcelona",,,,,,,
escp-business-school,"ESCP Business School",,,,,,,
ferrum-college,"Ferrum College",,,,,,,
evangel-university,"Evangel University",,,,,,,
evergreen-state-college,"The Evergreen State College",,,,,,,
florida-agricultural-mechanical-university-famu,"Florida Agricultural & Mechanical University (FAMU)",,,,,,,
florida-gulf-coast-university,"Florida Gulf Coast University",,,,,,,
florida-state-university,"Florida State University",,,,,,,
fayetteville-state-university,"Fayetteville State University",,,,,,,
fei-tian-college-northern-campus,"Fei Tian College - Northern Campus",,,,,,,
felician-university,"Felician University",,,,,,,
ferris-state-university,"Ferris State University",,,,,,,
fisher-college,"Fisher College",,,,,,,
fisk-university,"Fisk University",,,,,,,
fitchburg-state-university,"Fitchburg State University",,,,,,,
flagler-college,"Flagler College",,,,,,,
florida-institute-technology,"Florida Institute of Technology",,,,,,,
florida-international-university,"Florida International University",,,,,,,
florida-polytechnic-university,"Florida Polytechnic University",,,,,,,
florida-southern-college,"Florida Southern College",,,,,,,
fort-lewis-college,"Fort Lewis College",,,,,,,
framingham-state-university,"Framingham State University",,,,,,,
franciscan-missionaries-our-lady-university-franu,"Franciscan Missionaries of Our Lady University (FranU)",,,,,,,
georgetown-college,"Georgetown College",,,,,,,
georgia-college-state-university,"Georgia College & State University",,,,,,,
franklin-college,"Franklin College",,,,,,,
franklin-marshall-college,"Franklin & Marshall College",,,,,,,
franklin-pierce-university,"Franklin Pierce University",,,,,,,
franklin-w-olin-college-engineering,"Franklin W. Olin College of Engineering",,,,,,,
furman-university,"Furman University",,,,,,,
gannon-university,"Gannon University",,,,,,,
gardner-webb-university,"Gardner-Webb University",,,,,,,
generations-college,"Generations College",,,,,,,
geneva-college,"Geneva College",,,,,,,
george-fox-university,"George Fox University",,,,,,,
goucher-college,"Goucher College",,,,,,,
grace-college,"Grace College",,,,,,,
graceland-university,"Graceland University",,,,,,,
georgia-institute-technology,"Georgia Institute of Technology",,,,,,,
georgia-southern-university,"Georgia Southern University",,,,,,,
georgia-state-university,"Georgia State University",,,,,,,
georgian-court-university,"Georgian Court University",,,,,,,
goldey-beacom-college,"Goldey-Beacom College",,,,,,,
gordon-college,"Gordon College",,,,,,,
goshen-college,"Goshen College",,,,,,,
hamilton-college,"Hamilton College",,,,,,,
grand-valley-state-university,"Grand Valley State University",,,,,,,
grand-view-university,"Grand View University",,,,,,,
greensboro-college,"Greensboro College",,,,,,,
grinnell-college,"Grinnell College",,,,,,,
guilford-college,"Guilford College",,,,,,,
gustavus-adolphus-college,"Gustavus Adolphus College",,,,,,,
gwynedd-mercy-university,"Gwynedd Mercy University",,,,,,,
haverford-college,"Haverford College",,,,,,,
hamline-university-mn,"Hamline University (MN)",,,,,,,
hampden-sydney-college,"Hampden-Sydney College",,,,,,,
hampshire-college,"Hampshire College",,,,,,,
harcum-college,"Harcum College",,,,,,,
hardin-simmons-university,"Hardin-Simmons University",,,,,,,
harrisburg-university-science-and-technology,"Harrisburg University of Science and Technology",,,,,,,
hartwick-college,"Hartwick College",,,,,,,
harvey-mudd-college,"Harvey Mudd College",,,,,,,
hastings-college,"Hastings College",,,,,,,
holy-cross-college,"Holy Cross College",,,,,,,
holy-family-university,"Holy Family University",,,,,,,
hood-college,"Hood College",,,,,,,
hope-college,"Hope College",,,,,,,
hawaii-pacific-university,"Hawaii Pacific University",,,,,,,
heidelberg-university,"Heidelberg University",,,,,,,
hendrix-college,"Hendrix College",,,,,,,
high-point-university,"High Point University",,,,,,,
hilbert-college,"Hilbert College",,,,,,,
hillsdale-college,"Hillsdale College",,,,,,,
hobart-and-william-smith-colleges,"Hobart and William Smith Colleges",,,,,,,
hofstra-university,"Hofstra University",,,,,,,
hollins-university,"Hollins University",,,,,,,
ie-university-madrid-campus-and-segovia-campus,"IE University - Madrid Campus and Segovia Campus",,,,,,,
illinois-institute-technology,"Illinois Institute of Technology",,,,,,,
illinois-state-university,"Illinois State University",,,,,,,
houghton-university,"Houghton University",,,,,,,
houston-christian-university,"Houston Christian University",,,,,,,
hult-international-business-school-us-uk-dubai,"Hult International Business School – U.S, U.K, Dubai",,,,,,,
huntington-university,"Huntington University",,,,,,,
keiser-university-flagship-campus-west-palm-beach-florida,"Keiser University Flagship Campus - West Palm Beach Florida",,,,,,,
husson-university,"Husson University",,,,,,,
icn-business-school,"ICN Business School",,,,,,,
indiana-university-south-bend,"Indiana University South Bend",,,,,,,
indiana-wesleyan-university-marion,"Indiana Wesleyan University (Marion)",,,,,,,
illinois-wesleyan-university,"Illinois Wesleyan University",,,,,,,
immaculata-university,"Immaculata University",,,,,,,
indiana-state-university,"Indiana State University",,,,,,,
indiana-tech,"Indiana Tech",,,,,,,
indiana-university-bloomington,"Indiana University Bloomington",,,,,,,
indiana-university-indianapolis,"Indiana University Indianapolis",,,,,,,
indiana-university-northwest,"Indiana University Northwest",,,,,,,
johnson-wales-university-charlotte,"Johnson & Wales University-Charlotte",,,,,,,
johnson-wales-university-providence,"Johnson & Wales University-Providence",,,,,,,
inter-american-university-puerto-rico,"Inter American University of Puerto Rico",,,,,,,
iona-university,"Iona University",,,,,,,
iowa-state-university,"Iowa State University",,,,,,,
jackson-state-university,"Jackson State University",,,,,,,
kennesaw-state-university,"Kennesaw State University",,,,,,,
jacksonville-university,"Jacksonville University",,,,,,,
james-madison-university,"James Madison University",,,,,,,
john-cabot-university-rome,"John Cabot University in Rome",,,,,,,
john-carroll-university,"John Carroll University",,,,,,,
kalamazoo-college,"Kalamazoo College",,,,,,,
kansas-city-art-institute,"Kansas City Art Institute",,,,,,,
kansas-state-university,"Kansas State University",,,,,,,
kean-university,"Kean University",,,,,,,
keene-state-college,"Keene State College",,,,,,,
kent-state-university,"Kent State University",,,,,,,
kentucky-wesleyan-college,"Kentucky Wesleyan College",,,,,,,
kenyon-college,"Kenyon College",,,,,,,
kettering-university,"Kettering University",,,,,,,
keuka-college,"Keuka College",,,,,,,
keystone-college,"Keystone College",,,,,,,
kings-college,"King's College",,,,,,,
knox-college,"Knox College",,,,,,,
kutztown-university-pennsylvania,"Kutztown University of Pennsylvania",,,,,,,
la-roche-university,"La Roche University",,,,,,,
lake-erie-college,"Lake Erie College",,,,,,,
lake-forest-college,"Lake Forest College",,,,,,,
lake-superior-state-university,"Lake Superior State University",,,,,,,
lamar-university,"Lamar University",,,,,,,
menlo-college,"Menlo College",,,,,,,
lander-university,"Lander University",,,,,,,
landmark-college,"Landmark College",,,,,,,
lasell-university,"Lasell University",,,,,,,
lawrence-technological-university,"Lawrence Technological University",,,,,,,
lawrence-university,"Lawrence University",,,,,,,
lindenwood-university,"Lindenwood University",,,,,,,
lipscomb-university,"Lipscomb University",,,,,,,
list-college-jewish-theological-seminary,"List College The Jewish Theological Seminary",,,,,,,
livingstone-college,"Livingstone College",,,,,,,
le-moyne-college,"Le Moyne College",,,,,,,
lebanese-american-university-lau,"Lebanese American University - LAU",,,,,,,
lebanon-valley-college,"Lebanon Valley College",,,,,,,
lenoir-rhyne-university,"Lenoir-Rhyne University",,,,,,,
lesley-university,"Lesley University",,,,,,,
lewis-clark-college,"Lewis & Clark College",,,,,,,
liberty-university,"Liberty University",,,,,,,
lincoln-land-community-college,"Lincoln Land Community College",,,,,,,
lincoln-memorial-university,"Lincoln Memorial University",,,,,,,
lincoln-university-pennsylvania,"Lincoln University of Pennsylvania",,,,,,,
loyola-university-chicago,"Loyola University Chicago",,,,,,,
loyola-university-maryland,"Loyola University Maryland",,,,,,,
loyola-university-new-orleans,"Loyola University New Orleans",,,,,,,
long-island-university,"Long Island University",,,,,,,
longwood-university,"Longwood University",,,,,,,
loras-college,"Loras College",,,,,,,
louisiana-state-university-am-baton-rouge,"Louisiana State University A&M-Baton Rouge",,,,,,,
lourdes-university,"Lourdes University",,,,,,,
loyola-marymount-university,"Loyola Marymount University",,,,,,,
malone-university,"Malone University",,,,,,,
manchester-university,"Manchester University",,,,,,,
minerva-university,"Minerva University",,,,,,,
lubbock-christian-university,"Lubbock Christian University",,,,,,,
luther-college,"Luther College",,,,,,,
lyon-college,"Lyon College",,,,,,,
macalester-college,"Macalester College",,,,,,,
madonna-university,"Madonna University",,,,,,,
maine-college-art-design,"Maine College of Art & Design",,,,,,,
maine-maritime-academy,"Maine Maritime Academy",,,,,,,
marshall-university,"Marshall University",,,,,,,
manhattan-university,"Manhattan University",,,,,,,
manhattanville-university,"Manhattanville University",,,,,,,
manor-college,"Manor College",,,,,,,
marian-university-indiana,"Marian University - Indiana",,,,,,,
marian-university-wisconsin,"Marian University - Wisconsin",,,,,,,
marietta-college,"Marietta College",,,,,,,
marist-university,"Marist University",,,,,,,
marquette-university,"Marquette University",,,,,,,
mary-baldwin-university,"Mary Baldwin University",,,,,,,
mary-immaculate-college,"Mary Immaculate College",,,,,,,
maryland-institute-college-art,"Maryland Institute College of Art",,,,,,,
marymount-manhattan-college,"Marymount Manhattan College",,,,,,,
maryville-university-st-louis,"Maryville University of St. Louis",,,,,,,
marywood-university,"Marywood University",,,,,,,
massachusetts-college-art-and-design,"Massachusetts College of Art and Design",,,,,,,
massachusetts-college-liberal-arts,"Massachusetts College of Liberal Arts",,,,,,,
massachusetts-college-pharmacy-and-health-sciences,"Massachusetts College of Pharmacy and Health Sciences",,,,,,,
massachusetts-maritime-academy,"Massachusetts Maritime Academy",,,,,,,
mcdaniel-college,"McDaniel College",,,,,,,
mckendree-university,"McKendree University",,,,,,,
mercer-university,"Mercer University",,,,,,,
mercy-university,"Mercy University",,,,,,,
mercyhurst-university,"Mercyhurst University",,,,,,,
meredith-college,"Meredith College",,,,,,,
merrimack-college,"Merrimack College",,,,,,,
millikin-university,"Millikin University",,,,,,,
milwaukee-institute-art-design,"Milwaukee Institute of Art & Design",,,,,,,
milwaukee-school-engineering,"Milwaukee School of Engineering",,,,,,,
messiah-university,"Messiah University",,,,,,,
methodist-university,"Methodist University",,,,,,,
miami-dade-college,"Miami Dade College",,,,,,,
miami-university-ohio,"Miami University (Ohio)",,,,,,,
michigan-technological-university,"Michigan Technological University",,,,,,,
middle-tennessee-state-university,"Middle Tennessee State University",,,,,,,
middlebury-college,"Middlebury College",,,,,,,
midway-university,"Midway University",,,,,,,
misericordia-university,"Misericordia University",,,,,,,
midwestern-state-university,"Midwestern State University",,,,,,,
milligan-university,"Milligan University",,,,,,,
mohamed-bin-zayed-university-artificial-intelligence,"Mohamed bin Zayed University of Artificial Intelligence",,,,,,,
molloy-university,"Molloy University",,,,,,,
mississippi-college,"Mississippi College",,,,,,,
mississippi-state-university,"Mississippi State University",,,,,,,
missouri-southern-state-university,"Missouri Southern State University",,,,,,,
missouri-state-university,"Missouri State University",,,,,,,
morningside-university,"Morningside University",,,,,,,
mount-holyoke-college,"Mount Holyoke College",,,,,,,
mount-marty-university,"Mount Marty University",,,,,,,
trevecca-nazarene-university,"Trevecca Nazarene University",,,,,,,
mondragon-university,"Mondragon University",,,,,,,
monmouth-college-il,"Monmouth College (IL)",,,,,,,
montana-state-university,"Montana State University",,,,,,,
montreat-college,"Montreat College",,,,,,,
university-maine-augusta,"University of Maine at Augusta",,,,,,,
montserrat-college-art,"Montserrat College of Art",,,,,,,
moore-college-art-and-design,"Moore College of Art and Design",,,,,,,
morehead-state-university,"Morehead State University",,,,,,,
morehouse-college,"Morehouse College",,,,,,,
mount-mary-university,"Mount Mary University",,,,,,,
mount-saint-mary-college,"Mount Saint Mary College",,,,,,,
mount-saint-marys-university-los-angeles,"Mount Saint Mary's University Los Angeles",,,,,,,
mount-st-joseph-university,"Mount St. Joseph University",,,,,,,
mount-st-marys-university,"Mount St. Mary's University",,,,,,,
mount-vernon-nazarene-university,"Mount Vernon Nazarene University",,,,,,,
msu-denver,"MSU Denver",,,,,,,
new-mexico-state-university,"New Mexico State University",,,,,,,
muhlenberg-college,"Muhlenberg College",,,,,,,
muskingum-university,"Muskingum University",,,,,,,
naropa-university,"Naropa University",,,,,,,
nazareth-university,"Nazareth University",,,,,,,
nebraska-wesleyan-university,"Nebraska Wesleyan University",,,,,,,
neumann-university,"Neumann University",,,,,,,
new-college-florida,"New College of Florida",,,,,,,
new-england-institute-technology,"New England Institute of Technology",,,,,,,
new-jersey-institute-technology,"New Jersey Institute of Technology",,,,,,,
new-mexico-institute-mining-and-technology,"New Mexico Institute of Mining and Technology",,,,,,,
north-carolina-central-university,"North Carolina Central University",,,,,,,
north-carolina-state-university-0,"North Carolina State University",,,,,,,
new-school,"The New School",,,,,,,
new-york-institute-technology-nyit,"New York Institute of Technology (NYIT)",,,,,,,
new-york-school-career-applied-studies-touro-college-university-system,"New York School of Career & Applied Studies of Touro College & University System",,,,,,,
newberry-college,"Newberry College",,,,,,,
newman-university,"Newman University",,,,,,,
niagara-university,"Niagara University",,,,,,,
nichols-college,"Nichols College",,,,,,,
norfolk-state-university,"Norfolk State University",,,,,,,
north-american-university,"North American University",,,,,,,
oklahoma-baptist-university,"Oklahoma Baptist University",,,,,,,
north-carolina-wesleyan-university,"North Carolina Wesleyan University",,,,,,,
north-central-college,"North Central College",,,,,,,
north-park-university,"North Park University",,,,,,,
northeastern-illinois-university,"Northeastern Illinois University",,,,,,,
northern-arizona-university,"Northern Arizona University",,,,,,,
northern-illinois-university,"Northern Illinois University",,,,,,,
northern-michigan-university,"Northern Michigan University",,,,,,,
northwest-missouri-state-university,"Northwest Missouri State University",,,,,,,
occidental-college,"Occidental College",,,,,,,
northwest-nazarene-university,"Northwest Nazarene University",,,,,,,
northwest-university,"Northwest University",,,,,,,
norwich-university,"Norwich University",,,,,,,
notre-dame-maryland-university,"Notre Dame of Maryland University",,,,,,,
nova-southeastern-university,"Nova Southeastern University",,,,,,,
oakland-university,"Oakland University",,,,,,,
oakton-college,"Oakton College",,,,,,,
oberlin-college-arts-and-sciences,"Oberlin College of Arts and Sciences",,,,,,,
oberlin-conservatory-music,"Oberlin Conservatory of Music",,,,,,,
ole-miss-university-mississippi,"Ole Miss - The University of Mississippi",,,,,,,
oral-roberts-university,"Oral Roberts University",,,,,,,
oglethorpe-university,"Oglethorpe University",,,,,,,
ohio-dominican-university,"Ohio Dominican University",,,,,,,
ohio-northern-university,"Ohio Northern University",,,,,,,
ohio-state-university,"The Ohio State University",,,,,,,
ohio-university,"Ohio University",,,,,,,
oklahoma-christian-university,"Oklahoma Christian University",,,,,,,
oklahoma-state-university,"Oklahoma State University",,,,,,,
old-dominion-university,"Old Dominion University",,,,,,,
paine-college,"Paine College",,,,,,,
park-university,"Park University",,,,,,,
oregon-state-university,"Oregon State University",,,,,,,
oregon-tech,"Oregon Tech",,,,,,,
otis-college-art-and-design,"Otis College of Art and Design",,,,,,,
otterbein-university,"Otterbein University",,,,,,,
pace-university,"Pace University",,,,,,,
pacific-lutheran-university,"Pacific Lutheran University",,,,,,,
pacific-northwest-college-art,"Pacific Northwest College of Art",,,,,,,
pacific-university-oregon,"Pacific University Oregon",,,,,,,
paul-smiths-college,"Paul Smith's College",,,,,,,
penn-state,"Penn State",,,,,,,
pennsylvania-college-art-design,"Pennsylvania College of Art & Design",,,,,,,
pennsylvania-college-technology,"Pennsylvania College of Technology",,,,,,,
pennsylvania-western-university,"Pennsylvania Western University",,,,,,,
pepperdine-university,"Pepperdine University",,,,,,,
piedmont-university,"Piedmont University",,,,,,,
pitzer-college,"Pitzer College",,,,,,,
plymouth-state-university,"Plymouth State University",,,,,,,
point-loma-nazarene-university,"Point Loma Nazarene University",,,,,,,
point-park-university,"Point Park University",,,,,,,
pomona-college,"Pomona College",,,,,,,
portland-state-university,"Portland State University",,,,,,,
pratt-institute,"Pratt Institute",,,,,,,
prescott-college,"Prescott College",,,,,,,
principia-college,"Principia College",,,,,,,
providence-college,"Providence College",,,,,,,
purchase-college-suny,"Purchase College, SUNY",,,,,,,
regis-college,"Regis College",,,,,,,
regis-university,"Regis University",,,,,,,
reinhardt-university,"Reinhardt University",,,,,,,
rider-university,"Rider University",,,,,,,
purdue-university-northwest,"Purdue University Northwest",,,,,,,
purdue-university,"Purdue University",,,,,,,
queens-university-canada,"Queen's University, Canada",,,,,,,
queens-university-charlotte,"Queens University of Charlotte",,,,,,,
quincy-university,"Quincy University",,,,,,,
quinnipiac-university,"Quinnipiac University",,,,,,,
ramapo-college-new-jersey,"Ramapo College of New Jersey",,,,,,,
randolph-macon-college,"Randolph-Macon College",,,,,,,
regent-university,"Regent University",,,,,,,
richmond-american-international-university-london,"Richmond The American International University in London",,,,,,,
rend-lake-college,"Rend Lake College",,,,,,,
rensselaer-polytechnic-institute,"Rensselaer Polytechnic Institute",,,,,,,
rhode-island-college,"Rhode Island College",,,,,,,
rhode-island-school-design,"Rhode Island School of Design",,,,,,,
rochester-institute-technology,"Rochester Institute of Technology",,,,,,,
rhodes-college,"Rhodes College",,,,,,,
rice-university,"Rice University",,,,,,,
richard-bland-college,"Richard Bland College",,,,,,,
rollins-college,"Rollins College",,,,,,,
ripon-college,"Ripon College",,,,,,,
roanoke-college,"Roanoke College",,,,,,,
robert-morris-university-pa,"Robert Morris University (PA)",,,,,,,
roberts-wesleyan-university,"Roberts Wesleyan University",,,,,,,
rockford-university,"Rockford University",,,,,,,
rockhurst-university,"Rockhurst University",,,,,,,
roger-williams-university,"Roger Williams University",,,,,,,
saint-josephs-college-maine,"Saint Joseph's College of Maine",,,,,,,
rose-hulman-institute-technology,"Rose-Hulman Institute of Technology",,,,,,,
rowan-university,"Rowan University",,,,,,,
russell-sage-college,"Russell Sage College",,,,,,,
rutgers-university,"Rutgers University",,,,,,,
saint-mary-woods-college,"Saint Mary-of-the-Woods College",,,,,,,
saginaw-valley-state-university,"Saginaw Valley State University",,,,,,,
saint-anselm-college,"Saint Anselm College",,,,,,,
saint-elizabeth-university,"Saint Elizabeth University",,,,,,,
saint-francis-university,"Saint Francis University",,,,,,,
saint-johns-university-mn,"Saint John's University (MN)",,,,,,,
saint-vincent-college,"Saint Vincent College",,,,,,,
saint-xavier-university,"Saint Xavier University",,,,,,,
salem-college,"Salem College",,,,,,,
saint-josephs-university,"Saint Joseph's University",,,,,,,
saint-louis-university-madrid,"Saint Louis University-Madrid",,,,,,,
saint-louis-university,"Saint Louis University",,,,,,,
saint-martins-university,"Saint Martin's University",,,,,,,
saint-marys-college-california,"Saint Mary's College of California",,,,,,,
saint-marys-college-notre-dame-indiana,"Saint Mary's College, Notre Dame, Indiana",,,,,,,
saint-marys-university-minnesota,"Saint Mary's University of Minnesota",,,,,,,
saint-michaels-college,"Saint Michael's College",,,,,,,
salem-state-university,"Salem State University",,,,,,,
salisbury-university,"Salisbury University",,,,,,,
salve-regina-university,"Salve Regina University",,,,,,,
salzburg-college,"Salzburg College",,,,,,,
sam-houston-state-university,"Sam Houston State University",,,,,,,
samford-university,"Samford University",,,,,,,
san-francisco-bay-university,"San Francisco Bay University",,,,,,,
seton-hill-university,"Seton Hill University",,,,,,,
sewanee-university-south,"Sewanee: The University of the South",,,,,,,
shanghai-jiao-tong-university-global-college-formerly-known-university-michigan-shanghai,"Shanghai Jiao Tong University Global College (Formerly known as University of Michigan- Shanghai Jiao Tong University Joint Institute)",,,,,,,
santa-clara-university,"Santa Clara University",,,,,,,
sarah-lawrence-college,"Sarah Lawrence College",,,,,,,
sauk-valley-community-college,"Sauk Valley Community College",,,,,,,
savannah-college-art-and-design,"Savannah College of Art and Design",,,,,,,
school-art-institute-chicago,"School of the Art Institute of Chicago",,,,,,,
school-visual-arts,"School of Visual Arts",,,,,,,
scripps-college,"Scripps College",,,,,,,
seattle-pacific-university,"Seattle Pacific University",,,,,,,
seattle-university,"Seattle University",,,,,,,
simpson-university,"Simpson University",,,,,,,
