id,name,acceptance_rate,min_ielts,min_gpa,min_sat,application_deadline,enrollment_size,international_students_percent
pace-university-westchester-campus,"Pace University (Westchester Campus)",84.00,6.5,3.00,1030,Rolling,3740,8.00
university-of-aberdeen,"University of Aberdeen",56.00,6.0,3.00,,"January 15",11500,25.00
university-of-leuven-catolic,"University of Leuven Catolic",20.00,6.5,3.30,1200,"March 1",38000,21.00
corvinus-university-of-budapest,"Corvinus University of Budapest",45.00,6.0,3.00,,"May 31",4500,15.00
aalto-university,"Aalto University",15.00,6.5,3.70,1350,Mid-January,7000,28.00
university-of-massachusetts-boston,"University of Massachusetts Boston",79.70,6.0,3.00,1040,"March 1",13725,9.00
shanghai-jiao-tong-university,"Shanghai Jiao Tong University",,,,,,,
xiamen-university-malaysia,"Xiamen University Malaysia",,,,,,,
adelphi-university,"Adelphi University",74.00,6.5,3.40,1250,"Early February",5200,10.00
trinity-christian-college,"Trinity Christian College",,,,,,,
tallinn-university-of-technology-taltech,"Tallinn University of Technology ( TalTech)",,,,,,,
george-washington-university,"George Washington University",,,,,,,
university-of-nebraska-omaha,"University of Nebraska Omaha",85.00,6.0,2.50,,Rolling,12500,5.00
auburn-university-at-montgomery,"Auburn University at Montgomery",93.00,6.0,2.00,,Rolling,4324,3.00
arizona-state-university-polytechnic-campus,"Arizona State University (Polytechnic Campus)",88.00,6.0,3.00,1120,Rolling,2300,11.00
sapienza-university-of-rome,"Sapienza University of Rome",32.00,6.0,3.00,,"April 30",105000,7.00
northeastern-university,"Northeastern University",6.80,6.5,3.00,1450,"January 15",18993,25.00
karoli-gaspar-university,"Karoli Gaspar University",60.00,6.0,2.70,,"June 15",7000,8.00
unist-ulsan-national-institute-of-science-technology,"UNIST | Ulsan National Institute of Science & Technology",15.00,6.0,3.00,1200,"November 30",4500,10.00
pusan-national-university,"Pusan National University",12.50,6.0,3.00,1200,"November 30",20000,8.00
washington-jefferson-college,"Washington & Jefferson College",73.00,6.5,3.00,1100,Rolling,1200,4.00
kyunghee-university,"Kyunghee University",13.20,6.0,3.00,1200,"November 30",21000,12.50
york-college-of-pennsylvania,"York College of Pennsylvania",75.00,6.0,3.00,1000,Rolling,3900,1.00
peking-university,"Peking University",,,,,,,
kaunas-univeristy-of-technology,"Kaunas Univeristy of Technology",,,,,,,
the-hong-kong-polytechnic-university,"The Hong Kong Polytechnic University",,,,,,,
suffolk-university,"Suffolk University",,,,,,,
brunel-university-london-pathway-college,"Brunel University London Pathway College",,,,,,,
anglia-ruskin-university,"Anglia Ruskin University",68.00,6.0,2.50,,Rolling,17000,15.00
kingston-university,"Kingston University",35.00,6.0,2.70,,"January 29",15000,25.00
university-of-manchester,"University of Manchester",52.00,6.5,3.30,1250,"January 31",31000,40.00
liverpool-john-moores-university-ljmu,"Liverpool John Moores University (LJMU)",54.00,6.0,2.70,,"January 29",20000,14.00
the-hong-kong-university-of-science-and-technology,"The Hong Kong University of Science and Technology",20.00,6.0,3.00,1200,"January 31",11000,30.00
bridgewater-college,"Bridgewater College",74.00,6.0,2.50,,Rolling,1500,3.00
shandong-university,"Shandong University",18.00,6.0,3.00,,"May 31",35000,3.50
into-manchester,"INTO Manchester",70.00,5.0,2.50,,Rolling,150,98.00
edgewood-college,"Edgewood College",73.00,6.0,2.70,,Rolling,1800,4.00
dean-college,"Dean College",75.00,6.0,2.50,,Rolling,1100,5.00
hotel-institute-montreux,"Hotel Institute Montreux",,,,,,,
queen-mary-university-of-london-russell-group,"Queen Mary University of London (Russell Group)",,,,,,,
swiss-hotel-management-school,"Swiss Hotel Management School",85.00,5.5,2.50,,Rolling,800,90.00
lynn-university,"Lynn University",,,,,,,
webster-university-usa,"Webster University USA",,,,,,,
university-of-westminster,"University of Westminster",,,,,,,
bournemouth-university,"Bournemouth University",,,,,,,
lewis-university,"Lewis University",,,,,,,
hiram-college,"Hiram College",,,,,,,
bellarmine-university,"Bellarmine University",,,,,,,
lehigh-university,"Lehigh University",,,,,,,
the-hague-pathway-college-the-hague-university-of-applied-sciences,"The Hague Pathway College (The Hague University of Applied Sciences)",,,,,,,
technical-university-of-munich-tum,"Technical University of Munich (TUM)",8.00,6.5,3.00,1300,"May 31",32000,41.00
florida-atlantic-university,"Florida Atlantic University",,,,,,,
twente-pathway-college-university-of-twente,"Twente Pathway College (University of Twente)",,,,,,,
miami-university,"Miami University",72.00,6.5,3.50,1140,"February 1",17153,5.00
bentley-university,"Bentley University",,,,,,,
george-brown-college,"George Brown College",70.00,6.0,2.70,,"February 1",21000,29.00
seneca-college,"Seneca College",70.00,6.0,2.70,,Rolling,22000,25.00
university-of-sussex,"⁠University of Sussex",50.00,6.0,3.00,,"January 29",14000,30.00
national-college-of-ireland,"National College of Ireland",45.00,6.0,2.70,,Rolling,2800,18.00
kookmin-university,"Kookmin University",15.00,5.5,2.50,1100,"November 30",18000,8.00
university-of-messina,"University of Messina",60.00,5.5,2.50,,Rolling,18000,7.00
istituto-marangoni-london,"Istituto Marangoni (London)",60.00,6.0,2.70,,Rolling,800,85.00
charles-university,"Charles University",18.00,6.5,3.00,1200,"February 28",30000,17.00
university-of-saint-mary,"University of Saint Mary",67.00,6.0,2.50,1020,Rolling,750,5.00
university-of-british-columbia,"University of British Columbia",54.00,6.5,3.00,1290,"January 15",45000,32.00
eu-business-school,"EU Business School",70.00,6.0,2.50,,Rolling,1500,95.00
blackburn-college,"Blackburn College",67.00,6.0,2.50,920,Rolling,520,3.00
tsinghua-university,"Tsinghua University",0.10,6.5,3.50,1400,"March 31",3800,8.00
university-of-st-andrews,"University of St Andrews",8.30,6.5,3.50,1350,"January 29",7500,45.00
vytautas-magnus-universityvmu,"Vytautas Magnus University(VMU)",35.00,6.0,2.50,,"July 1",6000,12.00
johns-hopkins-university,"Johns Hopkins University",8.00,7.0,3.70,1450,"January 2",6500,23.00
city-university-of-hong-kong,"City University of Hong Kong",35.00,6.0,3.00,1190,"January 31",10000,20.00
istituto-marangoni-paris,"Istituto Marangoni (Paris)",60.00,6.0,2.50,,Rolling,300,90.00
leeds-beckett-university,"⁠Leeds Beckett University",58.00,6.0,2.70,,Rolling,22000,12.00
istituto-marangoni-florence,"Istituto Marangoni (Florence)",,,,,,,
simmons-university-undergraduate-programs-for-women,"Simmons University (undergraduate programs for women)",,,,,,,
university-of-chicago,"University of Chicago",,,,,,,
roosevelt-university,"Roosevelt University",80.00,6.0,2.50,,Rolling,4000,8.00
virginia-wesleyan-university,"Virginia Wesleyan University",76.00,6.0,2.50,1000,Rolling,1400,5.00
notre-dame-university,"Notre Dame University",13.00,7.0,3.70,1400,"January 1",8973,10.00
reed-college,"Reed College",30.00,7.0,3.50,1380,"January 15",1400,15.00
dublin-city-university,"Dublin City University",,,,,,,
icn-international-college,"ICN International College",,,,,,,
university-of-strathclyde,"University of Strathclyde",15.00,6.0,3.00,,"January 31",15000,25.00
massachusetts-institute-of-technology,"Massachusetts Institute of Technology (MIT)",,,,,,,
university-of-vienna,"University of Vienna",35.00,6.0,2.50,,"September 5",30000,27.00
new-york-film-academy,"New York Film Academy",,,,,,,
cornell-university,"Cornell University",8.70,7.0,3.80,1400,"January 2",16215,24.00
gonzaga-university,"Gonzaga University",,,,,,,
ohio-wesleyan-university,"Ohio Wesleyan University",74.00,6.5,3.00,1100,Rolling,1400,10.00
montclair-state-university,"Montclair State University",82.00,6.0,3.00,1060,"March 1",16572,2.00
gist-gwangju-institute-of-science-and-technology,"GIST | Gwangju Institute of Science and Technology",12.00,6.5,3.50,1400,"November 30",450,15.00
stanford-university,"Stanford University",3.90,7.0,3.70,1460,"January 5",7645,23.00
the-education-university-of-hong-kong-eduhk,"The Education University of Hong Kong (EdUHK)",18.00,6.0,3.00,,"January 31",4000,8.00
the-university-of-tokyo,"The University of Tokyo",11.00,6.5,3.50,1400,"December 1",14000,10.00
american-university,"American University",35.00,6.5,3.00,1230,"January 15",8888,15.00
concordia-university,"Concordia University",72.00,6.5,2.70,,"March 1",37000,23.00
university-of-turin,"University of Turin",55.00,6.0,3.00,,"April 30",35000,7.00
university-of-nottingham,"University of Nottingham",11.40,6.0,3.30,1290,"January 31",26000,22.00
